,Unnamed: 0,checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job,gender,res_split1,residence_history_in mnths,employment_length_in mnths,purpose_grped,GBFlag,job_grped,credit_history_grped,Age_grped,residence_history_in mnths_grped,employment_length_in mnths_grped,savings_balance_grped,months_loan_duration_grped,checking_balance_grped
361,361,263.0,12,repaid,radio/tv,3399,0.0,8 years,2,single,none,2 years,other,37,none,own,1,0,1,,yes,mangement self-employed,male,2.0,24.0,96.0,domestic appliance,Good,Others,delayed/repaid,"[34, 40)","[2.0, 132.0)","[84.0, inf)","[0.0, 1.0)","[10, 16)","[102.0, inf)"
479,479,-33.0,15,critical,furniture,1478,54.0,15 years,4,single,none,18 years,other,44,none,own,2,0,2,2346586815.0,yes,skilled employee,male,18.0,216.0,180.0,furniture,Good,skilled employee,critical,"[40, 45)","[132.0, 240.0)","[84.0, inf)","[31.0, 155.0)","[10, 16)","[-inf, -15.0)"
110,110,71.0,6,delayed,business,1449,154.0,10 years,1,divorced,none,8 months,other,31,bank,own,2,0,2,,yes,skilled employee,male,8.0,8.0,120.0,Others,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[84.0, inf)","[31.0, 155.0)","[3, 10)","[0.0, 102.0)"
989,989,97.0,24,critical,radio/tv,1743,40.0,13 years,4,single,none,4 months,building society savings,48,none,own,2,0,1,,yes,unskilled resident,male,4.0,4.0,156.0,domestic appliance,Good,unskilled resident,critical,"[45, 53)","[2.0, 132.0)","[84.0, inf)","[31.0, 155.0)","[19, 31)","[0.0, 102.0)"
486,486,0.0,12,repaid,radio/tv,3077,70.0,3 years,2,single,none,12 years,other,52,none,own,1,0,1,2342882012.0,yes,skilled employee,male,12.0,144.0,36.0,domestic appliance,Good,skilled employee,delayed/repaid,"[45, 53)","[132.0, 240.0)","[24.0, 36.0)","[31.0, 155.0)","[10, 16)","[-15.0, 0.0)"
363,363,0.0,6,repaid,furniture,1766,30.0,1 years,1,married,none,8 months,building society savings,21,none,rent,1,0,1,,yes,skilled employee,male,8.0,8.0,12.0,furniture,Good,skilled employee,delayed/repaid,"[18, 24)","[2.0, 132.0)","[3.0, 24.0)","[1.0, 31.0)","[3, 10)","[-15.0, 0.0)"
254,254,82.0,9,repaid,furniture,2030,0.0,6 years,2,single,none,,other,24,none,own,1,0,1,2341648240.0,yes,skilled employee,male,,-500.0,72.0,furniture,Good,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[36.0, 84.0)","[0.0, 1.0)","[3, 10)","[0.0, 102.0)"
259,259,0.0,11,critical,radio/tv,1154,318.0,,4,single,none,15 years,real estate,57,none,own,3,0,1,,yes,unskilled resident,female,15.0,180.0,-500.0,domestic appliance,Good,unskilled resident,critical,"[53, 76)","[132.0, 240.0)","[-inf, 3.0)","[155.0, inf)","[10, 16)","[-15.0, 0.0)"
802,802,-23.0,20,critical,furniture,4272,30.0,13 years,1,single,none,21 years,building society savings,24,none,own,2,0,1,,yes,skilled employee,female,21.0,252.0,156.0,furniture,Good,skilled employee,critical,"[24, 34)","[240.0, inf)","[84.0, inf)","[1.0, 31.0)","[19, 31)","[-inf, -15.0)"
677,677,48.0,72,repaid,radio/tv,5595,486.0,2 years,2,married,none,0 months,other,24,none,own,1,1,1,,yes,skilled employee,male,0.0,0.0,24.0,domestic appliance,Bad,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[155.0, inf)","[37, 73)","[0.0, 102.0)"
494,494,-12.0,12,critical,car (new),2122,11.0,2 years,3,single,none,2 months,real estate,39,none,rent,2,0,2,,no,unskilled resident,male,2.0,2.0,24.0,Car,Good,unskilled resident,critical,"[34, 40)","[-inf, 2.0)","[3.0, 24.0)","[1.0, 31.0)","[10, 16)","[-15.0, 0.0)"
670,670,0.0,24,critical,business,4139,316.0,2 years,3,single,none,4 years,building society savings,27,none,own,2,0,1,2344778873.0,yes,unskilled resident,male,4.0,48.0,24.0,Others,Good,unskilled resident,critical,"[24, 34)","[2.0, 132.0)","[3.0, 24.0)","[155.0, inf)","[19, 31)","[-15.0, 0.0)"
377,377,0.0,7,delayed,radio/tv,846,0.0,13 years,3,single,none,15 years,unknown/none,36,none,for free,1,0,1,,yes,skilled employee,male,15.0,180.0,156.0,domestic appliance,Good,skilled employee,delayed/repaid,"[34, 40)","[132.0, 240.0)","[84.0, inf)","[0.0, 1.0)","[3, 10)","[-15.0, 0.0)"
526,526,0.0,15,critical,education,1532,410.0,1 years,4,single,none,3 years,other,31,none,own,1,0,1,,yes,skilled employee,female,3.0,36.0,12.0,education,Good,skilled employee,critical,"[24, 34)","[2.0, 132.0)","[3.0, 24.0)","[155.0, inf)","[10, 16)","[-15.0, 0.0)"
845,845,127.0,21,repaid,furniture,3976,0.0,6 years,2,single,none,2 years,other,35,none,own,1,0,1,2344710066.0,yes,skilled employee,male,2.0,24.0,72.0,furniture,Good,skilled employee,delayed/repaid,"[34, 40)","[2.0, 132.0)","[36.0, 84.0)","[0.0, 1.0)","[19, 31)","[102.0, inf)"
137,137,43.0,12,repaid,radio/tv,766,909.0,1 years,4,single,none,2 years,real estate,66,none,own,1,1,1,,yes,unskilled resident,male,2.0,24.0,12.0,domestic appliance,Bad,unskilled resident,delayed/repaid,"[53, 76)","[2.0, 132.0)","[3.0, 24.0)","[155.0, inf)","[10, 16)","[0.0, 102.0)"
355,355,12.0,24,repaid,car (new),1246,48.0,7 months,4,single,none,8 months,real estate,23,stores,own,1,1,1,,yes,unskilled resident,male,8.0,8.0,7.0,Car,Bad,unskilled resident,delayed/repaid,"[18, 24)","[2.0, 132.0)","[3.0, 24.0)","[31.0, 155.0)","[19, 31)","[0.0, 102.0)"
365,365,0.0,12,repaid,business,1542,34.0,7 years,2,single,none,15 years,other,36,none,own,1,0,1,2345633915.0,yes,skilled employee,male,15.0,180.0,84.0,Others,Good,skilled employee,delayed/repaid,"[34, 40)","[132.0, 240.0)","[36.0, 84.0)","[31.0, 155.0)","[10, 16)","[-15.0, 0.0)"
942,942,0.0,24,repaid,furniture,929,0.0,7 years,4,single,none,1 months,other,31,stores,own,1,0,1,2349394262.0,yes,skilled employee,male,1.0,1.0,84.0,furniture,Good,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[36.0, 84.0)","[0.0, 1.0)","[19, 31)","[-15.0, 0.0)"
749,749,0.0,15,repaid,car (used),3029,94.0,6 years,2,single,none,0 months,other,33,none,own,1,0,1,,yes,skilled employee,male,0.0,0.0,72.0,Car,Good,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[36.0, 84.0)","[31.0, 155.0)","[10, 16)","[-15.0, 0.0)"
948,948,0.0,18,repaid,furniture,1533,63.0,6 months,4,married,co-applicant,,building society savings,43,none,own,1,1,2,,yes,unskilled resident,male,,-500.0,6.0,furniture,Bad,unskilled resident,delayed/repaid,"[40, 45)","[-inf, 2.0)","[3.0, 24.0)","[31.0, 155.0)","[16, 19)","[-15.0, 0.0)"
829,829,10.0,48,delayed,business,6681,0.0,1 years,4,single,none,17 years,unknown/none,38,none,for free,1,0,2,2342369885.0,yes,skilled employee,male,17.0,204.0,12.0,Others,Good,skilled employee,delayed/repaid,"[34, 40)","[132.0, 240.0)","[3.0, 24.0)","[0.0, 1.0)","[37, 73)","[0.0, 102.0)"
656,656,104.0,12,repaid,car (new),888,17.0,11 years,4,single,none,5 years,other,41,bank,own,1,1,2,,yes,unskilled resident,male,5.0,60.0,132.0,Car,Bad,unskilled resident,delayed/repaid,"[40, 45)","[2.0, 132.0)","[84.0, inf)","[1.0, 31.0)","[10, 16)","[102.0, inf)"
199,199,132.0,18,delayed,furniture,4297,64.0,19 years,4,divorced,none,1 years,unknown/none,40,none,own,1,1,1,2340379129.0,yes,mangement self-employed,male,1.0,12.0,228.0,furniture,Bad,Others,delayed/repaid,"[40, 45)","[2.0, 132.0)","[84.0, inf)","[31.0, 155.0)","[16, 19)","[102.0, inf)"
213,213,392.0,30,delayed,business,1908,41.0,8 years,4,single,none,18 years,real estate,66,none,own,1,1,1,2340694718.0,yes,mangement self-employed,male,18.0,216.0,96.0,Others,Bad,Others,delayed/repaid,"[53, 76)","[132.0, 240.0)","[84.0, inf)","[31.0, 155.0)","[19, 31)","[102.0, inf)"
408,408,0.0,24,repaid,radio/tv,3235,912.0,14 years,3,divorced,none,4 months,other,26,none,own,1,0,1,2348898186.0,yes,mangement self-employed,male,4.0,4.0,168.0,domestic appliance,Good,Others,delayed/repaid,"[24, 34)","[2.0, 132.0)","[84.0, inf)","[155.0, inf)","[19, 31)","[-15.0, 0.0)"
332,332,72.0,60,repaid,car (new),7408,331.0,6 months,4,single,none,8 months,building society savings,24,none,own,1,1,1,,yes,mangement self-employed,female,8.0,8.0,6.0,Car,Bad,Others,delayed/repaid,"[24, 34)","[2.0, 132.0)","[3.0, 24.0)","[155.0, inf)","[37, 73)","[0.0, 102.0)"
208,208,-37.0,24,repaid,business,6568,35.0,3 years,2,married,none,11 months,other,21,stores,own,1,0,1,,yes,unskilled resident,male,11.0,11.0,36.0,Others,Good,unskilled resident,delayed/repaid,"[18, 24)","[2.0, 132.0)","[24.0, 36.0)","[31.0, 155.0)","[19, 31)","[-inf, -15.0)"
613,613,-18.0,24,fully repaid this bank,car (used),3632,57.0,1 years,1,single,guarantor,13 years,other,22,bank,rent,1,0,1,,no,skilled employee,female,13.0,156.0,12.0,Car,Good,skilled employee,fully repaid,"[18, 24)","[132.0, 240.0)","[3.0, 24.0)","[31.0, 155.0)","[19, 31)","[-inf, -15.0)"
78,78,0.0,54,fully repaid,car (used),9436,0.0,1 years,2,single,none,1 months,building society savings,39,none,own,1,0,2,,yes,unskilled resident,male,1.0,1.0,12.0,Car,Good,unskilled resident,fully repaid,"[34, 40)","[-inf, 2.0)","[3.0, 24.0)","[0.0, 1.0)","[37, 73)","[-15.0, 0.0)"
29,29,-2.0,60,delayed,business,6836,73.0,10 years,3,single,none,10 years,unknown/none,63,none,own,2,1,1,2347105934.0,yes,skilled employee,male,10.0,120.0,120.0,Others,Bad,skilled employee,delayed/repaid,"[53, 76)","[2.0, 132.0)","[84.0, inf)","[31.0, 155.0)","[37, 73)","[-15.0, 0.0)"
535,535,821.0,21,critical,education,2319,29.0,9 months,2,divorced,none,,other,33,none,rent,1,1,1,,yes,skilled employee,male,,-500.0,9.0,education,Bad,skilled employee,critical,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[1.0, 31.0)","[19, 31)","[102.0, inf)"
695,695,0.0,6,repaid,car (used),1236,661.0,3 years,2,single,none,13 years,building society savings,50,none,rent,1,0,1,,yes,skilled employee,male,13.0,156.0,36.0,Car,Good,skilled employee,delayed/repaid,"[45, 53)","[132.0, 240.0)","[24.0, 36.0)","[155.0, inf)","[3, 10)","[-15.0, 0.0)"
557,557,0.0,21,fully repaid,car (new),5003,0.0,3 years,1,single,none,8 years,building society savings,29,bank,own,2,1,1,2347367998.0,yes,skilled employee,female,8.0,96.0,36.0,Car,Bad,skilled employee,fully repaid,"[24, 34)","[2.0, 132.0)","[24.0, 36.0)","[0.0, 1.0)","[19, 31)","[-15.0, 0.0)"
836,836,0.0,12,repaid,radio/tv,886,0.0,2 years,4,single,none,3 months,other,21,none,own,1,0,1,,yes,skilled employee,female,3.0,3.0,24.0,domestic appliance,Good,skilled employee,delayed/repaid,"[18, 24)","[2.0, 132.0)","[3.0, 24.0)","[0.0, 1.0)","[10, 16)","[-15.0, 0.0)"
596,596,-11.0,24,repaid,car (new),1442,89.0,6 years,4,single,none,7 years,other,23,none,rent,2,1,1,,yes,skilled employee,female,7.0,84.0,72.0,Car,Bad,skilled employee,delayed/repaid,"[18, 24)","[2.0, 132.0)","[36.0, 84.0)","[31.0, 155.0)","[19, 31)","[-15.0, 0.0)"
165,165,0.0,6,repaid,furniture,2978,958.0,2 years,1,single,none,8 months,other,32,none,own,1,0,1,2343583711.0,yes,skilled employee,male,8.0,8.0,24.0,furniture,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[3.0, 24.0)","[155.0, inf)","[3, 10)","[-15.0, 0.0)"
918,918,-21.0,24,repaid,furniture,2359,402.0,,1,divorced,none,,building society savings,33,none,own,1,1,1,,yes,skilled employee,male,,-500.0,-500.0,furniture,Bad,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[-inf, 3.0)","[155.0, inf)","[19, 31)","[-inf, -15.0)"
495,495,-26.0,24,repaid,furniture,2996,0.0,3 years,2,married,none,9 years,other,20,none,own,1,1,1,,yes,skilled employee,male,9.0,108.0,36.0,furniture,Bad,skilled employee,delayed/repaid,"[18, 24)","[2.0, 132.0)","[24.0, 36.0)","[0.0, 1.0)","[19, 31)","[-inf, -15.0)"
824,824,0.0,18,critical,furniture,3780,37.0,4 months,3,divorced,none,8 months,other,35,none,own,2,0,1,2342641371.0,yes,mangement self-employed,male,8.0,8.0,4.0,furniture,Good,Others,critical,"[34, 40)","[2.0, 132.0)","[3.0, 24.0)","[31.0, 155.0)","[16, 19)","[-15.0, 0.0)"
65,65,0.0,27,repaid,repairs,5190,0.0,17 years,4,single,none,19 years,building society savings,48,none,own,4,0,2,2344192892.0,yes,skilled employee,male,19.0,228.0,204.0,Others,Good,skilled employee,delayed/repaid,"[45, 53)","[132.0, 240.0)","[84.0, inf)","[0.0, 1.0)","[19, 31)","[-15.0, 0.0)"
141,141,67.0,36,repaid,radio/tv,4795,51.0,9 months,4,single,none,,unknown/none,30,none,own,1,0,1,2347963787.0,yes,mangement self-employed,female,,-500.0,9.0,domestic appliance,Good,Others,delayed/repaid,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[31.0, 155.0)","[31, 37)","[0.0, 102.0)"
925,925,-1.0,12,fully repaid this bank,car (new),697,24.0,3 months,4,single,none,3 months,other,46,bank,own,2,1,1,2342165266.0,yes,skilled employee,male,3.0,3.0,3.0,Car,Bad,skilled employee,fully repaid,"[45, 53)","[2.0, 132.0)","[-inf, 3.0)","[1.0, 31.0)","[10, 16)","[-15.0, 0.0)"
827,827,0.0,18,fully repaid,business,4165,75.0,1 years,2,single,none,6 months,other,36,stores,own,2,1,2,,yes,skilled employee,male,6.0,6.0,12.0,Others,Bad,skilled employee,fully repaid,"[34, 40)","[2.0, 132.0)","[3.0, 24.0)","[31.0, 155.0)","[16, 19)","[-15.0, 0.0)"
655,655,-49.0,14,repaid,car (new),3973,16.0,,1,single,none,23 years,unknown/none,22,none,for free,1,0,1,,yes,skilled employee,male,23.0,276.0,-500.0,Car,Good,skilled employee,delayed/repaid,"[18, 24)","[240.0, inf)","[-inf, 3.0)","[1.0, 31.0)","[10, 16)","[-inf, -15.0)"
331,331,0.0,18,critical,education,1864,313.0,1 years,4,single,none,10 months,real estate,30,none,own,2,1,1,,yes,skilled employee,female,10.0,10.0,12.0,education,Bad,skilled employee,critical,"[24, 34)","[2.0, 132.0)","[3.0, 24.0)","[155.0, inf)","[16, 19)","[-15.0, 0.0)"
664,664,975.0,6,critical,education,1047,84.0,3 years,2,single,none,7 years,building society savings,50,none,own,1,0,1,,yes,unskilled resident,female,7.0,84.0,36.0,education,Good,unskilled resident,critical,"[45, 53)","[2.0, 132.0)","[24.0, 36.0)","[31.0, 155.0)","[3, 10)","[102.0, inf)"
249,249,0.0,18,repaid,radio/tv,433,70.0,,3,single,co-applicant,10 years,real estate,22,none,rent,1,1,1,,yes,skilled employee,female,10.0,120.0,-500.0,domestic appliance,Bad,skilled employee,delayed/repaid,"[18, 24)","[2.0, 132.0)","[-inf, 3.0)","[31.0, 155.0)","[16, 19)","[-15.0, 0.0)"
907,907,61.0,36,repaid,education,3711,0.0,2 years,2,married,none,5 months,other,27,none,own,1,0,1,,yes,skilled employee,male,5.0,5.0,24.0,education,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[3.0, 24.0)","[0.0, 1.0)","[31, 37)","[0.0, 102.0)"
708,708,12.0,9,repaid,radio/tv,1206,54.0,14 years,4,single,none,22 years,real estate,25,none,own,1,0,1,,yes,skilled employee,female,22.0,264.0,168.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[240.0, inf)","[84.0, inf)","[31.0, 155.0)","[3, 10)","[0.0, 102.0)"
305,305,0.0,6,repaid,furniture,1543,2785.0,2 years,4,divorced,none,5 months,real estate,33,none,own,1,0,1,,yes,skilled employee,male,5.0,5.0,24.0,furniture,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[3.0, 24.0)","[155.0, inf)","[3, 10)","[-15.0, 0.0)"
734,734,0.0,4,critical,car (new),3380,13.0,5 years,1,single,none,,real estate,37,none,own,1,0,2,,yes,skilled employee,female,,-500.0,60.0,Car,Good,skilled employee,critical,"[34, 40)","[-inf, 2.0)","[36.0, 84.0)","[1.0, 31.0)","[3, 10)","[-15.0, 0.0)"
975,975,661.0,24,repaid,radio/tv,1258,572.0,3 years,3,single,none,4 years,other,57,none,own,1,0,1,,yes,unskilled resident,female,4.0,48.0,36.0,domestic appliance,Good,unskilled resident,delayed/repaid,"[53, 76)","[2.0, 132.0)","[24.0, 36.0)","[155.0, inf)","[19, 31)","[102.0, inf)"
49,49,0.0,12,repaid,radio/tv,2073,308.0,3 years,4,single,co-applicant,0 months,real estate,28,none,own,1,0,1,,yes,skilled employee,female,0.0,0.0,36.0,domestic appliance,Good,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[24.0, 36.0)","[155.0, inf)","[10, 16)","[-15.0, 0.0)"
896,896,-46.0,21,repaid,radio/tv,2606,11.0,7 months,4,single,none,22 years,building society savings,28,none,rent,1,0,1,2348054230.0,yes,mangement self-employed,female,22.0,264.0,7.0,domestic appliance,Good,Others,delayed/repaid,"[24, 34)","[240.0, inf)","[3.0, 24.0)","[1.0, 31.0)","[19, 31)","[-inf, -15.0)"
2,2,0.0,12,critical,education,2096,24.0,5 years,2,single,none,4 years,real estate,49,none,own,1,0,2,,yes,unskilled resident,male,4.0,48.0,60.0,education,Good,unskilled resident,critical,"[45, 53)","[2.0, 132.0)","[36.0, 84.0)","[1.0, 31.0)","[10, 16)","[-15.0, 0.0)"
544,544,0.0,12,critical,car (new),1255,4.0,19 years,4,single,none,14 years,real estate,61,none,own,2,0,1,,yes,unskilled resident,male,14.0,168.0,228.0,Car,Good,unskilled resident,critical,"[53, 76)","[132.0, 240.0)","[84.0, inf)","[1.0, 31.0)","[10, 16)","[-15.0, 0.0)"
350,350,0.0,9,repaid,domestic appliances,1236,23.0,1 months,1,single,none,11 years,real estate,23,none,rent,1,0,1,2346684040.0,yes,skilled employee,female,11.0,132.0,1.0,domestic appliance,Good,skilled employee,delayed/repaid,"[18, 24)","[2.0, 132.0)","[-inf, 3.0)","[1.0, 31.0)","[3, 10)","[-15.0, 0.0)"
904,904,0.0,24,repaid,radio/tv,1278,75.0,12 years,4,single,none,,real estate,36,none,own,1,0,1,2347814325.0,yes,mangement self-employed,male,,-500.0,144.0,domestic appliance,Good,Others,delayed/repaid,"[34, 40)","[-inf, 2.0)","[84.0, inf)","[31.0, 155.0)","[19, 31)","[-15.0, 0.0)"
536,536,-9.0,6,repaid,car (new),1374,0.0,,4,single,none,3 years,building society savings,75,none,own,1,0,1,2340000335.0,yes,mangement self-employed,female,3.0,36.0,-500.0,Car,Good,Others,delayed/repaid,"[53, 76)","[2.0, 132.0)","[-inf, 3.0)","[0.0, 1.0)","[3, 10)","[-15.0, 0.0)"
344,344,406.0,10,repaid,car (new),3949,81.0,8 months,1,single,guarantor,,building society savings,37,none,own,1,0,2,,yes,unskilled resident,male,,-500.0,8.0,Car,Good,unskilled resident,delayed/repaid,"[34, 40)","[-inf, 2.0)","[3.0, 24.0)","[31.0, 155.0)","[10, 16)","[102.0, inf)"
994,994,0.0,12,repaid,car (new),2390,0.0,17 years,4,single,none,1 years,other,50,none,own,1,0,1,2341831732.0,yes,skilled employee,male,1.0,12.0,204.0,Car,Good,skilled employee,delayed/repaid,"[45, 53)","[2.0, 132.0)","[84.0, inf)","[0.0, 1.0)","[10, 16)","[-15.0, 0.0)"
481,481,138.0,24,repaid,car (new),1201,1.0,6 months,4,single,none,,building society savings,26,none,own,1,0,1,,yes,skilled employee,male,,-500.0,6.0,Car,Good,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[0.0, 1.0)","[19, 31)","[102.0, inf)"
575,575,0.0,15,critical,furniture,2788,97.0,4 years,2,single,co-applicant,4 years,other,24,bank,own,2,0,1,,yes,skilled employee,female,4.0,48.0,48.0,furniture,Good,skilled employee,critical,"[24, 34)","[2.0, 132.0)","[36.0, 84.0)","[31.0, 155.0)","[10, 16)","[-15.0, 0.0)"
33,33,0.0,12,critical,business,1264,0.0,11 years,4,single,none,20 years,unknown/none,57,none,rent,1,0,1,,yes,unskilled resident,male,20.0,240.0,132.0,Others,Good,unskilled resident,critical,"[53, 76)","[132.0, 240.0)","[84.0, inf)","[0.0, 1.0)","[10, 16)","[-15.0, 0.0)"
31,31,-31.0,24,repaid,furniture,4020,28.0,3 years,2,single,none,10 months,other,27,stores,own,1,0,1,,yes,skilled employee,male,10.0,10.0,36.0,furniture,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[24.0, 36.0)","[1.0, 31.0)","[19, 31)","[-inf, -15.0)"
231,231,0.0,9,repaid,car (new),2507,896.0,7 years,2,single,none,23 years,unknown/none,51,none,for free,1,0,1,,yes,unskilled resident,male,23.0,276.0,84.0,Car,Good,unskilled resident,delayed/repaid,"[45, 53)","[240.0, inf)","[36.0, 84.0)","[155.0, inf)","[3, 10)","[-15.0, 0.0)"
963,963,0.0,24,repaid,radio/tv,2397,674.0,18 years,3,single,none,5 months,other,35,bank,own,2,1,1,2348294389.0,yes,skilled employee,male,5.0,5.0,216.0,domestic appliance,Bad,skilled employee,delayed/repaid,"[34, 40)","[2.0, 132.0)","[84.0, inf)","[155.0, inf)","[19, 31)","[-15.0, 0.0)"
192,192,130.0,27,repaid,business,3915,18.0,1 years,4,single,none,8 months,other,36,none,own,1,1,2,2346300855.0,yes,skilled employee,male,8.0,8.0,12.0,Others,Bad,skilled employee,delayed/repaid,"[34, 40)","[2.0, 132.0)","[3.0, 24.0)","[1.0, 31.0)","[19, 31)","[102.0, inf)"
333,333,0.0,48,critical,car (used),11590,399.0,2 years,2,single,none,23 years,other,24,bank,rent,2,1,1,,yes,unskilled resident,female,23.0,276.0,24.0,Car,Bad,unskilled resident,critical,"[24, 34)","[240.0, inf)","[3.0, 24.0)","[155.0, inf)","[37, 73)","[-15.0, 0.0)"
3,3,-32.0,42,repaid,furniture,7882,9.0,5 years,2,single,guarantor,13 years,building society savings,45,none,for free,1,0,2,,yes,skilled employee,male,13.0,156.0,60.0,furniture,Good,skilled employee,delayed/repaid,"[45, 53)","[132.0, 240.0)","[36.0, 84.0)","[1.0, 31.0)","[37, 73)","[-inf, -15.0)"
204,204,0.0,12,critical,car (new),1495,13.0,18 years,4,single,none,,real estate,38,none,own,2,0,2,,yes,unskilled resident,male,,-500.0,216.0,Car,Good,unskilled resident,critical,"[34, 40)","[-inf, 2.0)","[84.0, inf)","[1.0, 31.0)","[10, 16)","[-15.0, 0.0)"
514,514,0.0,24,repaid,car (new),2255,0.0,6 months,4,single,none,,building society savings,54,none,own,1,0,1,,yes,skilled employee,male,,-500.0,6.0,Car,Good,skilled employee,delayed/repaid,"[53, 76)","[-inf, 2.0)","[3.0, 24.0)","[0.0, 1.0)","[19, 31)","[-15.0, 0.0)"
799,799,98.0,9,repaid,car (new),1549,0.0,6 months,4,single,none,3 months,real estate,35,none,own,1,0,1,,yes,unemployed non-resident,male,3.0,3.0,6.0,Car,Good,Others,delayed/repaid,"[34, 40)","[2.0, 132.0)","[3.0, 24.0)","[0.0, 1.0)","[3, 10)","[0.0, 102.0)"
306,306,0.0,30,repaid,car (used),4811,0.0,4 years,2,single,none,12 years,building society savings,24,stores,rent,1,0,1,,yes,unskilled resident,female,12.0,144.0,48.0,Car,Good,unskilled resident,delayed/repaid,"[24, 34)","[132.0, 240.0)","[36.0, 84.0)","[0.0, 1.0)","[19, 31)","[-15.0, 0.0)"
109,109,135.0,14,repaid,business,1410,999.0,14 years,1,married,none,5 months,real estate,35,none,own,1,0,1,2343293474.0,yes,skilled employee,male,5.0,5.0,168.0,Others,Good,skilled employee,delayed/repaid,"[34, 40)","[2.0, 132.0)","[84.0, inf)","[155.0, inf)","[10, 16)","[102.0, inf)"
430,430,0.0,5,repaid,business,3448,3.0,7 years,1,single,none,14 years,real estate,74,none,own,1,0,1,,yes,unskilled resident,male,14.0,168.0,84.0,Others,Good,unskilled resident,delayed/repaid,"[53, 76)","[132.0, 240.0)","[36.0, 84.0)","[1.0, 31.0)","[3, 10)","[-15.0, 0.0)"
77,77,42.0,11,delayed,radio/tv,4771,54.0,4 years,2,single,none,19 years,building society savings,51,none,own,1,0,1,,yes,skilled employee,male,19.0,228.0,48.0,domestic appliance,Good,skilled employee,delayed/repaid,"[45, 53)","[132.0, 240.0)","[36.0, 84.0)","[31.0, 155.0)","[10, 16)","[0.0, 102.0)"
84,84,-24.0,10,repaid,radio/tv,2315,77.0,15 years,3,single,none,13 years,real estate,52,none,own,1,0,1,,yes,unskilled resident,male,13.0,156.0,180.0,domestic appliance,Good,unskilled resident,delayed/repaid,"[45, 53)","[132.0, 240.0)","[84.0, inf)","[31.0, 155.0)","[10, 16)","[-inf, -15.0)"
286,286,-42.0,48,repaid,car (used),4788,68.0,6 years,4,single,none,4 years,building society savings,26,none,own,1,0,2,,yes,skilled employee,male,4.0,48.0,72.0,Car,Good,skilled employee,delayed/repaid,"[24, 34)","[2.0, 132.0)","[36.0, 84.0)","[31.0, 155.0)","[37, 73)","[-inf, -15.0)"
82,82,0.0,18,repaid,business,1568,419.0,3 years,3,single,none,11 years,building society savings,24,none,rent,1,0,1,,yes,unskilled resident,female,11.0,132.0,36.0,Others,Good,unskilled resident,delayed/repaid,"[24, 34)","[2.0, 132.0)","[24.0, 36.0)","[155.0, inf)","[16, 19)","[-15.0, 0.0)"
991,991,0.0,15,fully repaid this bank,radio/tv,1569,455.0,9 years,4,single,none,22 years,other,34,bank,own,1,0,2,,yes,unskilled resident,male,22.0,264.0,108.0,domestic appliance,Good,unskilled resident,fully repaid,"[34, 40)","[240.0, inf)","[84.0, inf)","[155.0, inf)","[10, 16)","[-15.0, 0.0)"
789,789,-18.0,40,critical,education,5998,76.0,3 years,4,single,none,2 years,unknown/none,27,bank,own,1,1,1,2346512744.0,yes,skilled employee,male,2.0,24.0,36.0,education,Bad,skilled employee,critical,"[24, 34)","[2.0, 132.0)","[24.0, 36.0)","[31.0, 155.0)","[37, 73)","[-inf, -15.0)"
894,894,0.0,18,critical,radio/tv,1169,0.0,1 years,4,single,none,2 years,building society savings,29,none,own,2,0,1,2344363011.0,yes,skilled employee,male,2.0,24.0,12.0,domestic appliance,Good,skilled employee,critical,"[24, 34)","[2.0, 132.0)","[3.0, 24.0)","[0.0, 1.0)","[16, 19)","[-15.0, 0.0)"
398,398,8.0,12,repaid,car (new),1223,6.0,9 years,1,divorced,none,,real estate,46,none,rent,2,1,1,,yes,skilled employee,male,,-500.0,108.0,Car,Bad,skilled employee,delayed/repaid,"[45, 53)","[-inf, 2.0)","[84.0, inf)","[1.0, 31.0)","[10, 16)","[0.0, 102.0)"
